HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
477,704,7684,7684
478,704,7700,7700
479,704,7716,7716
480,672,7732,7732
481,704,7748,7748
482,672,7764,7764
483,672,7780,7780
484,672,7796,7796
485,704,7812,7812
486,672,7828,7828
487,704,7844,7844
488,704,7860,7860
489,672,7876,7876
490,704,7892,7892
491,672,7908,7908
492,672,7924,7924
493,704,7940,7940
494,704,7956,7956
495,672,7972,7972
496,704,7988,7988
497,672,8004,8004
498,672,8020,8020
499,736,8036,8036
500,896,8052,8052
501,704,8068,8068
502,672,8084,8084
503,672,8100,8100
504,704,8116,8116
505,672,8132,8132
506,704,8148,8148
507,672,8164,8164
508,704,8180,8180
509,672,8196,8196
510,672,8212,8212
511,704,8228,8228
512,704,8244,8244
513,704,8260,8260
514,672,8276,8276
515,672,8292,8292
516,704,8308,8308
517,736,8324,8324
518,672,8340,8340
519,672,8356,8356
520,704,8372,8372
521,672,8388,8388
522,672,8404,8404
523,768,8420,8420
524,768,8436,8436
525,672,8452,8452
526,672,8468,8468
527,704,8484,8484
528,928,8500,8500
529,672,8516,8516
530,672,8532,8532
531,672,8548,8548
532,704,8564,8564
533,672,8580,8580
534,704,8596,8596
535,672,8612,8612
536,672,8628,8628
537,672,8644,8644
538,672,8660,8660
539,736,8676,8676
540,672,8692,8692
541,672,8708,8708
542,704,8724,8724
543,704,8740,8740
544,704,8756,8756
545,672,8772,8772
546,672,8788,8788
547,704,8804,8804
548,704,8820,8820
549,672,8836,8836
550,704,8852,8852
551,704,8868,8868
552,672,8884,8884
553,704,8900,8900
554,672,8916,8916
555,672,8932,8932
556,704,8948,8948
557,704,8964,8964
558,672,8980,8980
559,704,8996,8996
560,704,9012,9012
561,672,9028,9028
562,736,9044,9044
563,672,9060,9060
564,704,9076,9076
565,704,9092,9092
566,672,9108,9108
567,672,9124,9124
568,704,9140,9140
569,736,9156,9156
570,704,9172,9172
571,704,9188,9188
572,672,9204,9204
573,672,9220,9220
574,672,9236,9236
575,704,9252,9252
576,672,9268,9268
577,672,9284,9284
578,672,9300,9300
579,704,9316,9316
580,672,9332,9332
581,672,9348,9348
582,704,9364,9364
583,672,9380,9380
584,672,9396,9396
585,672,9412,9412
586,704,9428,9428
587,672,9444,9444
588,672,9460,9460
589,704,9476,9476
590,672,9492,9492
591,672,9508,9508
592,672,9524,9524
593,704,9540,9540
594,704,9556,9556
595,704,9572,9572
596,672,9588,9588
597,672,9604,9604
598,672,9620,9620
599,704,9636,9636
600,704,9652,9652
601,704,9668,9668
